EXBZUS	EXCAUS	EXCHUS	EXDNUS	EXHKUS	EXINUS	EXJPUS	EXKOUS	EXMAUS	EXMXUS	EXNOUS	EXSDUS	EXSFUS	EXSIUS	EXSLUS	EXSZUS	EXTAUS	EXTHUS	EXALUS	EXEUUS	EXNZUS	EXUKUS
3.2086	1.2998	6.6466	6.6396	7.756	66.9035	101.2383	1110.0183	4.0219	18.4742	8.3009	8.4693	13.7828	1.3476	145.2035	0.9711	31.5374	34.7122	1.3108	0.8923	1.3822	0.7633
3.2532	1.3108	6.6702	6.639	7.7564	66.7138	101.7843	1108.3638	4.1059	19.2436	8.1957	8.5311	14.0264	1.3591	145.4581	0.9732	31.4562	34.7133	1.3173	0.8914	1.3676	0.7610
3.1854	1.3251	6.7303	6.7553	7.757	66.7415	103.9075	1128.166	4.1738	18.8912	8.1722	8.821	13.9273	1.3847	146.76	0.9876	31.586	35.0545	1.3132	0.9079	1.3980	0.8110
3.3369	1.3434	6.8402	6.8973	7.756	67.6395	108.443	1162.708	4.3259	20.0086	8.4147	9.1266	13.9125	1.4105	147.81	0.9963	31.7495	35.3345	1.3277	0.9266	1.3980	0.8044
3.354	1.3339	6.9198	7.0524	7.7586	67.8052	115.9981	1183.07	4.4573	20.4992	8.5617	9.207	13.8377	1.4358	148.8152	1.0194	32.0005	35.7776	1.3613	0.9483	1.4207	0.8011
3.1901	1.3183	6.8907	6.9919	7.756	68.0474	114.8721	1179.1074	4.455	21.3911	8.457	8.9451	13.5446	1.4276	149.8342	1.0075	31.6458	35.4289	1.3396	0.9403	1.4021	0.8086
3.1057	1.3109	6.8694	6.981	7.7596	66.9726	112.9116	1140.4874	4.4401	20.3008	8.3215	8.9007	13.1905	1.4137	150.8721	1.001	30.8547	34.9989	1.3048	0.9390	1.3833	0.8003
3.1275	1.3387	6.894	6.9553	7.7658	65.8009	112.9165	1133.8617	4.4358	19.28	8.5063	8.9147	12.9203	1.4049	151.5048	1.0015	30.6487	34.8752	1.3120	0.9354	1.4273	0.8099
3.139	1.3437	6.8876	6.9422	7.7737	64.536	110.091	1134.1755	4.403	18.7672	8.5855	8.9616	13.4508	1.3983	151.862	1.0009	30.3585	34.4495	1.3273	0.9334	1.4349	0.7912
3.2043	1.3606	6.8843	6.7338	7.7864	64.4195	112.2436	1125.1359	4.3164	18.7666	8.5059	8.7826	13.264	1.3951	152.3909	0.9867	30.1282	34.4573	1.3446	0.9050	1.4397	0.7735
